Opponent,Cluster,Count
AIR_FORCE,2,1
ALABAMA_A&M,8,1
ALCORN_STATE,1,1
ARMY,6,1
AUBURN,0,1
BOSTON_COLLEGE,0,2
BOWLING_GREEN_STATE,1,1
BRIGHAM_YOUNG,1,1
CENTRAL_FLORIDA,0,2
CLEMSON,1,6
CONNECTICUT,6,2
DUKE,0,4
ELON,1,1
FLORIDA_STATE,1,2
FRESNO_STATE,0,1
GARDNER-WEBB,3,1
GEORGIA,2,9
GEORGIA_SOUTHERN,1,1
IOWA,4,1
JACKSONVILLE_STATE,7,2
KANSAS,3,2
KENNESAW_STATE,3,1
KENTUCKY,2,1
LOUISIANA_STATE,1,1
LOUISVILLE,1,1
MARYLAND,0,3
MERCER,3,1
MIAMI_(FL),8,5
MIDDLE_TENNESSEE_STATE,1,2
MINNESOTA,2,1
MISSISSIPPI,2,1
MISSISSIPPI_STATE,2,2
NAVY,2,1
NORTHERN_ILLINOIS,6,1
NORTH_CAROLINA,5,5
NORTH_CAROLINA_STATE,0,3
NOTRE_DAME,0,2
PITTSBURGH,2,3
PRESBYTERIAN,3,1
SAMFORD,0,1
SOUTHERN_CALIFORNIA,1,1
SOUTH_CAROLINA_STATE,0,1
SOUTH_FLORIDA,5,1
STANFORD,2,1
SYRACUSE,0,2
TEMPLE,7,1
TENNESSEE,1,1
THE_CITADEL,2,1
TROY,3,1
TULANE,3,1
TULSA,6,1
UTAH,2,2
VANDERBILT,1,2
VIRGINIA,1,5
VIRGINIA_TECH,8,6
WAKE_FOREST,0,3
WESTERN_CAROLINA,4,2
WEST_VIRGINIA,2,1
WOFFORD,2,1
