Rk,Date,Home_Away,Opponent,Result,Def_Passing_Cmp,Def_Passing_Att,Def_Passing_Pct,Def_Passing_Yds,Def_Passing_TD,Def_Rushing_Att,Def_Rushing_Yds,Def_Rushing_Avg,Def_Rushing_TD,Def_Total_Offense_Plays,Def_Total_Offense_Yds,Def_Total_Offense_Avg,Def_First_Downs_Pass,Def_First_Downs_Rush,Def_First_Downs_Pen,Def_First_Downs_Tot,Def_Penalties_No.,Def_Penalties_Yds,Def_Fum,Def_Int,Def_TO
1,2000-09-02,,Central Florida,W (21-17),16,31,51.6,247,1,26,8,0.3,1,57,255,4.5,6,3,2,11,9,60,1,1,2
2,2000-09-09,,Florida State,L (21-26),26,40,65,463,2,34,73,2.1,1,74,536,7.2,19,4,3,26,15,114,1,1,2
3,2000-09-16,,Navy,W (40-13),24,40,60,199,1,52,165,3.2,0,92,364,4,9,14,2,25,5,39,4,0,4
4,2000-09-21,@,North Carolina State,L (23-30),21,36,58.3,262,3,31,66,2.1,0,67,328,4.9,14,5,0,19,7,61,0,2,2
5,2000-09-30,@,North Carolina,W (42-28),17,31,54.8,388,3,37,89,2.4,1,68,477,7,12,5,4,21,6,66,0,2,2
6,2000-10-14,,Wake Forest,W (52-20),27,43,62.8,272,1,39,179,4.6,2,82,451,5.5,17,6,3,26,7,42,2,2,4
7,2000-10-21,,Duke,W (45-10),22,43,51.2,210,1,46,112,2.4,0,89,322,3.6,11,13,2,26,10,65,1,2,3
8,2000-10-28,@,Clemson,W (31-28),15,27,55.6,207,2,37,147,4,1,64,354,5.5,7,9,2,18,5,61,1,1,2
9,2000-11-09,,Virginia,W (35-0),14,30,46.7,136,0,29,154,5.3,0,59,290,4.9,7,8,0,15,3,24,2,1,3
10,2000-11-18,@,Maryland,W (35-22),29,46,63,318,3,22,20,0.9,0,68,338,5,13,4,1,18,6,50,2,1,3
11,2000-11-25,@,Georgia,W (27-15),37,63,58.7,435,2,18,26,1.4,0,81,461,5.7,18,5,1,24,2,10,1,2,3
12,2000-12-29,N,Louisiana State*,L (14-28),,,,,,,,,,,,,,,,,,,,,
1,2001-08-26,N,Syracuse,W (13-7),19,32,59.4,183,0,26,59,2.3,1,58,242,4.2,8,4,1,13,8,49,0,1,1
2,2001-09-01,,The Citadel,W (35-7),15,26,57.7,132,0,34,70,2.1,1,60,202,3.4,5,4,4,13,8,48,1,0,1
3,2001-09-08,@,Navy,W (70-7),11,26,42.3,111,0,40,106,2.7,1,66,217,3.3,5,6,2,13,3,19,3,2,5
4,2001-09-29,,Clemson,L (44-47),18,32,56.3,254,2,52,248,4.8,5,84,502,6,10,16,1,27,11,108,1,0,1
5,2001-10-06,@,Duke,W (37-10),11,29,37.9,201,0,37,102,2.8,1,66,303,4.6,7,4,0,11,9,65,2,0,2
6,2001-10-11,,Maryland,L (17-20),21,41,51.2,210,0,34,92,2.7,1,75,302,4,9,7,3,19,8,53,0,2,2
7,2001-10-20,,North Carolina State,W (27-17),20,32,62.5,223,1,26,41,1.6,1,58,264,4.6,8,4,3,15,10,87,1,2,3
8,2001-11-01,,North Carolina,W (28-21),22,37,59.5,286,3,17,13,0.8,0,54,299,5.5,14,1,0,15,8,45,0,1,1
9,2001-11-10,@,Virginia,L (38-39),32,46,69.6,327,5,25,134,5.4,0,71,461,6.5,14,12,1,27,8,91,1,1,2
10,2001-11-17,@,Wake Forest,W (38-33),18,39,46.2,210,0,43,140,3.3,3,82,350,4.3,11,8,4,23,5,45,1,2,3
11,2001-11-24,,Georgia,L (17-31),11,25,44,210,0,52,232,4.5,1,77,442,5.7,7,15,0,22,14,134,1,0,1
12,2001-12-01,@,Florida State,L (17-28),14,25,56,248,2,46,168,3.7,2,71,416,5.9,8,10,2,20,7,43,0,0,0
13,2001-12-27,N,Stanford*,W (24-14),,,,,,,,,,,,,,,,,,,,,
1,2002-08-31,,Vanderbilt,W (45-3),13,28,46.4,116,0,31,109,3.5,0,59,225,3.8,3,6,0,9,5,25,0,2,2
2,2002-09-07,@,Connecticut,W (31-14),15,32,46.9,185,2,34,64,1.9,0,66,249,3.8,6,6,1,13,5,26,1,1,2
3,2002-09-14,@,Clemson,L (19-24),18,31,58.1,176,2,41,195,4.8,1,72,371,5.2,6,8,4,18,9,97,3,1,4
