Rk,Date,Home_Away,Opponent,Result,Off_Passing_Cmp,Off_Passing_Att,Off_Passing_Pct,Off_Passing_Yds,Off_Passing_TD,Off_Rushing_Att,Off_Rushing_Yds,Off_Rushing_Avg,Off_Rushing_TD,Off_Total_Offense_Plays,Off_Total_Offense_Yds,Off_Total_Offense_Avg,Off_First_Downs_Pass,Off_First_Downs_Rush,Off_First_Downs_Pen,Off_First_Downs_Tot,Off_Penalties_No.,Off_Penalties_Yds,Off_Turnovers_Fum,Off_Turnovers_Int,Off_Turnovers_Tot
1,2000-09-02,,Central Florida,W (21-17),23,41,56.1,226,3,44,110,2.5,0,85,336,4,13,11,2,26,9,90,2,0,2
2,2000-09-09,,Florida State,L (21-26),22,37,59.5,219,1,34,79,2.3,1,71,298,4.2,11,5,2,18,19,140,0,0,0
3,2000-09-16,,Navy,W (40-13),10,19,52.6,166,3,40,139,3.5,1,59,305,5.2,9,8,1,18,5,45,1,0,1
4,2000-09-21,@,North Carolina State,L (23-30),24,43,55.8,226,1,42,141,3.4,1,85,367,4.3,11,9,3,23,5,26,2,1,3
5,2000-09-30,@,North Carolina,W (42-28),21,30,70,238,2,40,134,3.4,3,70,372,5.3,13,5,0,18,7,64,0,2,2
6,2000-10-14,,Wake Forest,W (52-20),16,24,66.7,333,4,47,245,5.2,3,71,578,8.1,13,13,0,26,10,93,0,0,0
7,2000-10-21,,Duke,W (45-10),12,21,57.1,221,1,35,226,6.5,5,56,447,8,8,11,1,20,10,91,0,1,1
8,2000-10-28,@,Clemson,W (31-28),35,57,61.4,454,3,40,96,2.4,0,97,550,5.7,22,6,3,31,8,79,0,0,0
9,2000-11-09,,Virginia,W (35-0),29,37,78.4,323,2,57,304,5.3,3,94,627,6.7,18,16,0,34,5,35,0,0,0
10,2000-11-18,@,Maryland,W (35-22),19,30,63.3,354,2,53,193,3.6,3,83,547,6.6,13,14,0,27,7,56,1,0,1
11,2000-11-25,@,Georgia,W (27-15),20,35,57.1,222,1,34,140,4.1,1,69,362,5.2,11,7,0,18,7,50,0,2,2
12,2000-12-29,N,Louisiana State*,L (14-28),,,,,,,,,,0,0,,,,,,,,,,
1,2001-08-26,N,Syracuse,W (13-7),15,26,57.7,224,0,46,125,2.7,1,72,349,4.8,10,6,3,19,4,32,0,0,0
2,2001-09-01,,The Citadel,W (35-7),22,34,64.7,351,2,36,122,3.4,3,70,473,6.8,15,6,0,21,11,101,0,2,2
3,2001-09-08,@,Navy,W (70-7),15,19,78.9,291,3,54,270,5,6,73,561,7.7,10,12,0,22,9,80,0,1,1
4,2001-09-29,,Clemson,L (44-47),17,27,63,216,2,45,196,4.4,3,72,412,5.7,10,12,4,26,6,48,0,1,1
5,2001-10-06,@,Duke,W (37-10),24,40,60,295,2,48,210,4.4,2,88,505,5.7,11,15,1,27,6,55,1,2,3
6,2001-10-11,,Maryland,L (17-20),26,45,57.8,320,2,39,50,1.3,0,84,370,4.4,14,6,0,20,8,75,3,3,6
7,2001-10-20,,North Carolina State,W (27-17),24,39,61.5,256,2,43,124,2.9,0,82,380,4.6,12,9,4,25,8,58,1,0,1
8,2001-11-01,,North Carolina,W (28-21),18,27,66.7,187,1,52,237,4.6,2,79,424,5.4,9,13,4,26,4,26,0,1,1
9,2001-11-10,@,Virginia,L (38-39),39,55,70.9,486,1,33,74,2.2,4,88,560,6.4,22,3,4,29,11,86,0,1,1
10,2001-11-17,@,Wake Forest,W (38-33),20,27,74.1,267,3,47,146,3.1,2,74,413,5.6,7,13,0,20,7,44,1,1,2
11,2001-11-24,,Georgia,L (17-31),19,35,54.3,179,1,28,63,2.3,1,63,242,3.8,8,3,4,15,5,43,1,1,2
12,2001-12-01,@,Florida State,L (17-28),25,39,64.1,275,0,29,51,1.8,2,68,326,4.8,10,7,1,18,6,64,0,1,1
13,2001-12-27,N,Stanford*,W (24-14),,,,,,,,,,0,0,,,,,,,,,,
1,2002-08-31,,Vanderbilt,W (45-3),15,24,62.5,182,3,51,279,5.5,3,75,461,6.1,6,13,2,21,11,75,0,0,0
2,2002-09-07,@,Connecticut,W (31-14),14,21,66.7,189,0,43,226,5.3,4,64,415,6.5,6,11,0,17,6,45,1,0,1
3,2002-09-14,@,Clemson,L (19-24),17,31,54.8,201,1,32,102,3.2,2,63,303,4.8,8,5,1,14,8,101,1,1,2
4,2002-09-21,,Brigham Young,W (28-19),11,26,42.3,117,0,50,210,4.2,4,76,327,4.3,6,11,2,19,6,49,0,3,3
5,2002-09-28,@,North Carolina,W (21-13),19,33,57.6,211,2,49,185,3.8,1,82,396,4.8,12,9,3,24,6,45,0,2,2
6,2002-10-05,,Wake Forest,L (21-24),18,30,60,254,3,21,78,3.7,0,51,332,6.5,12,3,0,15,5,45,1,1,2
7,2002-10-17,@,Maryland,L (10-34),30,53,56.6,305,0,31,180,5.8,1,84,485,5.8,16,7,3,26,7,64,2,0,2
8,2002-10-26,,Virginia,W (23-15),26,42,61.9,220,1,44,211,4.8,1,86,431,5,16,8,1,25,10,66,1,0,1
9,2002-11-02,@,North Carolina State,W (24-17),22,37,59.5,214,1,42,143,3.4,1,79,357,4.5,8,11,2,21,9,74,0,1,1
10,2002-11-09,,Florida State,L (13-21),22,45,48.9,211,1,42,185,4.4,0,87,396,4.6,8,15,1,24,7,68,0,3,3
11,2002-11-16,,Duke,W (17-2),18,30,60,200,0,42,127,3,2,72,327,4.5,8,6,5,19,11,79,0,1,1
12,2002-11-30,@,Georgia,L (7-51),18,36,50,222,1,22,71,3.2,0,58,293,5.1,7,4,1,12,4,28,3,2,5
13,2002-12-31,N,Fresno State*,L (21-30),9,27,33.3,218,2,31,130,4.2,1,58,348,6,7,6,3,16,5,53,1,6,7
1,2003-08-28,@,Brigham Young,L (13-24),15,24,62.5,147,0,23,96,4.2,0,47,243,5.2,9,3,3,15,9,82,3,1,4
2,2003-09-06,,Auburn,W (17-3),9,21,42.9,149,1,39,102,2.6,1,60,251,4.2,6,5,2,13,9,65,1,0,1
3,2003-09-13,@,Florida State,L (13-14),12,25,48,128,0,39,112,2.9,1,64,240,3.8,7,6,2,15,7,56,2,1,3
4,2003-09-20,,Clemson,L (3-39),19,42,45.2,248,0,33,45,1.4,0,75,293,3.9,10,5,1,16,5,51,1,1,2
5,2003-09-27,@,Vanderbilt,W (24-17),11,22,50,108,1,39,223,5.7,2,61,331,5.4,5,8,0,13,5,34,0,2,2
6,2003-10-04,,North Carolina State,W (29-21),24,38,63.2,283,2,41,89,2.2,1,79,372,4.7,16,6,4,26,4,40,1,0,1
7,2003-10-11,@,Wake Forest,W (24-7),12,24,50,225,2,47,216,4.6,1,71,441,6.2,7,15,0,22,6,50,0,0,0
8,2003-10-23,,Maryland,W (7-3),12,28,42.9,98,1,41,130,3.2,0,69,228,3.3,7,7,0,14,3,15,0,1,1
9,2003-11-08,@,Duke,L (17-41),27,47,57.4,247,0,30,142,4.7,2,77,389,5.1,13,9,0,22,4,30,1,3,4
10,2003-11-15,,North Carolina,W (41-24),14,27,51.9,148,4,50,298,6,0,77,446,5.8,8,19,1,28,3,23,0,0,0
