Opponent,0,1,2
Opponent1,1.0,0.0,0.0
Opponent10,1.0,0.0,0.0
Opponent100,1.0,0.0,0.0
Opponent101,0.0,1.0,0.0
Opponent102,0.0,0.0,1.0
Opponent103,0.0,0.0,1.0
Opponent104,0.0,1.0,0.0
Opponent105,0.0,1.0,0.0
Opponent106,0.0,0.0,1.0
Opponent107,0.0,1.0,0.0
Opponent108,0.0,1.0,0.0
Opponent109,0.0,1.0,0.0
Opponent11,1.0,0.0,0.0
Opponent110,0.0,0.0,1.0
Opponent111,0.0,1.0,0.0
Opponent112,0.0,1.0,0.0
Opponent113,0.0,0.0,1.0
Opponent114,0.0,1.0,0.0
Opponent115,0.0,1.0,0.0
Opponent116,1.0,0.0,0.0
Opponent117,0.0,1.0,0.0
Opponent118,0.0,0.0,1.0
Opponent119,0.0,1.0,0.0
Opponent12,1.0,0.0,0.0
Opponent120,0.0,1.0,0.0
Opponent121,0.0,1.0,0.0
Opponent122,0.0,1.0,0.0
Opponent123,0.0,1.0,0.0
Opponent124,0.0,1.0,0.0
Opponent125,0.0,0.0,1.0
Opponent126,0.0,0.0,1.0
Opponent127,0.0,0.0,1.0
Opponent128,0.0,1.0,0.0
Opponent129,0.0,0.0,1.0
Opponent13,1.0,0.0,0.0
Opponent130,0.0,1.0,0.0
Opponent131,0.0,1.0,0.0
Opponent132,0.0,0.0,1.0
Opponent133,0.0,1.0,0.0
Opponent134,0.0,1.0,0.0
Opponent135,0.0,0.0,1.0
Opponent136,0.0,0.0,1.0
Opponent137,0.0,0.0,1.0
Opponent138,0.0,1.0,0.0
Opponent139,0.0,1.0,0.0
Opponent14,0.0,0.0,1.0
Opponent140,0.0,0.0,1.0
Opponent141,0.0,1.0,0.0
Opponent142,0.0,1.0,0.0
Opponent143,0.0,1.0,0.0
Opponent144,0.0,1.0,0.0
Opponent145,0.0,1.0,0.0
Opponent146,0.0,0.0,1.0
Opponent147,0.0,0.0,1.0
Opponent148,0.0,0.0,1.0
Opponent149,0.0,1.0,0.0
Opponent15,1.0,0.0,0.0
Opponent150,0.0,0.0,1.0
Opponent151,0.0,1.0,0.0
Opponent152,0.0,1.0,0.0
Opponent153,0.0,0.0,1.0
Opponent154,0.0,1.0,0.0
Opponent155,0.0,1.0,0.0
Opponent156,0.0,1.0,0.0
Opponent157,0.0,1.0,0.0
Opponent158,0.0,0.0,1.0
Opponent159,0.0,1.0,0.0
Opponent16,1.0,0.0,0.0
Opponent160,0.0,1.0,0.0
Opponent161,0.0,0.0,1.0
Opponent162,0.0,0.0,1.0
Opponent163,0.0,1.0,0.0
Opponent164,0.0,1.0,0.0
Opponent165,0.0,0.0,1.0
Opponent166,0.0,0.0,1.0
Opponent167,0.0,0.0,1.0
Opponent168,0.0,1.0,0.0
Opponent169,0.0,1.0,0.0
Opponent17,1.0,0.0,0.0
Opponent170,0.0,1.0,0.0
Opponent171,1.0,0.0,0.0
Opponent172,0.0,1.0,0.0
Opponent173,1.0,0.0,0.0
Opponent174,0.0,1.0,0.0
Opponent175,0.0,1.0,0.0
Opponent176,0.0,1.0,0.0
Opponent177,1.0,0.0,0.0
Opponent178,0.0,1.0,0.0
Opponent179,0.0,1.0,0.0
Opponent18,1.0,0.0,0.0
Opponent180,0.0,0.0,1.0
Opponent181,0.0,0.0,1.0
Opponent182,0.0,1.0,0.0
Opponent183,0.0,0.0,1.0
Opponent184,1.0,0.0,0.0
Opponent185,0.0,1.0,0.0
Opponent186,0.0,0.0,1.0
Opponent187,0.0,1.0,0.0
Opponent188,0.0,1.0,0.0
Opponent189,0.0,1.0,0.0
Opponent19,0.0,1.0,0.0
Opponent190,0.0,1.0,0.0
Opponent191,0.0,0.0,1.0
Opponent192,0.0,1.0,0.0
Opponent193,0.0,1.0,0.0
Opponent194,0.0,1.0,0.0
Opponent195,0.0,1.0,0.0
Opponent196,0.0,1.0,0.0
Opponent197,0.0,0.0,1.0
Opponent198,0.0,0.0,1.0
Opponent199,0.0,1.0,0.0
Opponent2,1.0,0.0,0.0
Opponent20,1.0,0.0,0.0
Opponent200,0.0,0.0,1.0
Opponent201,0.0,0.0,1.0
Opponent202,0.0,1.0,0.0
Opponent203,1.0,0.0,0.0
Opponent204,0.0,0.0,1.0
Opponent205,0.0,1.0,0.0
Opponent206,0.0,0.0,1.0
Opponent207,0.0,0.0,1.0
Opponent208,0.0,1.0,0.0
