Observation Process1 Process2 Process3 Process4
1 9.91 9.21755 2.65 5
2 9.53 142.887 3.40 8
3 9.99 32.0088 2.64 6
4 10.04 75.3285 3.38 8
5 10.53 49.1267 2.36 3
6 10.26 175.021 5.19 2
7 9.88 71.0796 1.64 2
8 9.13 281.486 3.06 9
9 10.46 111.284 1.69 5
10 10.11 106.306 3.54 5
11 9.72 2.84187 2.15 3
12 10.67 81.3795 2.13 6
13 11.06 73.582 2.23 6
14 10.07 35.6692 1.78 3
15 9.67 57.6838 1.15 4
16 10.24 45.8048 2.17 5
17 9.24 24.2765 2.35 8
18 11.00 274.122 1.80 9
19 10.52 2.24356 1.00 4
20 10.40 143.062 1.49 5
21 10.58 108.228 2.04 8
22 10.32 104.382 2.08 5
23 9.30 96.5035 1.20 7
24 10.20 43.0083 1.59 4
25 10.13 40.149 1.60 5
26 10.71 352.755 2.01 4
27 9.61 392.27 1.30 5
28 10.56 176.637 1.95 3
29 10.25 215.806 2.36 5
30 10.33 71.1458 2.31 4
31 10.14 6.60153 2.23 5
32 9.66 230.495 1.80 2
33 10.99 33.5363 2.31 5
34 10.72 42.5306 3.55 7
35 9.74 110.969 1.90 8
36 10.97 235.793 2.25 7
37 11.29 115.948 3.21 6
38 9.55 405.556 2.08 2
39 10.18 20.1971 2.28 6
40 11.52 11.3048 1.16 7
41 10.71 353.97 1.06 8
42 10.85 96.9523 0.87 6
43 9.61 69.7782 3.14 5
44 10.30 515.399 1.19 5
45 9.64 600.295 0.92 12
46 9.30 398.934 2.47 4
47 9.47 503.44 1.29 5
48 10.12 11.1054 0.76 6
49 9.24 3.57827 3.13 4
50 9.87 289.247 2.47 9
51 9.86 6.68169 1.00 7
52 10.44 24.4547 1.84 8
53 10.03 123.56 2.99 3
54 10.32 46.0386 2.86 6
55 10.99 524.57 4.48 1
56 10.02 63.9097 4.16 5
57 10.35 8.00313 2.74 4
58 10.42 24.1011 4.68 5
59 9.46 20.4822 3.03 2
60 10.21 45.088 2.64 3
61 9.74 147.438 1.67 1
62 8.77 85.8522 2.91 5
63 10.11 136.507 1.51 3
64 10.54 35.2654 2.91 4
65 9.82 241.444 3.53 3
66 9.28 4.15181 4.78 3
67 9.60 109.756 3.31 7
68 10.39 3.45408 2.26 4
69 9.87 48.5153 2.53 4
70 10.98 131.61 1.42 5
71 10.39 160.766 2.93 9
72 9.31 30.2505 1.03 5
73 10.27 131.609 2.26 4
74 10.28 159.829 1.97 5
75 10.49 157.356 2.68 7
76 9.37 121.353 5.09 6
77 9.39 143.064 0.30 7
78 9.75 109.298 2.26 4
79 9.85 531.32 1.47 2
80 10.28 53.4291 3.09 3
81 10.33 45.0377 3.79 6
82 9.13 89.1195 1.79 2
83 9.99 51.2836 2.41 9
84 10.27 6.98948 1.95 4
85 9.74 120.514 2.08 5
86 10.71 263.818 1.54 8
87 9.88 273.378 0.76 6
88 10.29 87.814 2.81 5
89 9.88 274.103 1.36 3
90 10.36 1509.39 2.52 7
91 9.92 523.546 1.06 5
92 10.23 33.194 2.04 8
93 10.10 423.614 0.98 2
94 9.93 121.732 2.04 4
95 10.62 81.2766 0.93 5
96 10.56 16.2324 1.96 7
97 9.86 61.1575 1.42 3
98 9.72 77.974 1.62 4
99 9.77 278.813 1.18 6
100 10.68 121.635 3.77 7
