Nb of jobs 56 Nb of Machines 12
Solution
设备编号         零件编号         工序标号         开始时间         结束时间        
C1           34           1            0            5           
C1           48           1            5            47          
C1           56           1            47           53          
C1           4            1            53           63          
C1           2            1            63           73          
C1           56           2            73           107         
C1           16           1            107          111         
C1           14           1            111          115         
C1           53           1            115          123         
C1           46           1            123          139         
C1           30           3            139          178         
C1           55           1            178          184         
C1           51           1            184          187         
C1           26           1            187          193         
C1           13           1            193          197         
C1           10           1            197          201         
C1           19           3            207          211         
C1           5            3            211          255         
C1           17           3            255          259         
C1           6            2            259          275         
C1           27           3            292          331         
C1           53           3            331          339         
C1           37           2            339          393         
C1           7            3            397          441         
C1           32           2            441          675         
C1           7            5            675          682         
C1           28           2            682          761         
C1           21           3            761          800         
C1           8            4            800          805         
C1           35           4            805          815         
C1           29           2            815          894         
C1           13           2            894          1004        
C1           6            3            1004         1048        
C1           3            3            1048         1058        
C1           4            3            1058         1068        
C1           21           5            1068         1073        
C1           34           3            1073         1102        
C1           45           3            1102         1105        
C1           48           4            1105         1111        
C1           7            9            1115         1121        
C1           55           4            1121         1271        
C1           14           2            1271         1381        
C1           21           7            1381         1391        
C1           18           2            1391         1397        
C1           34           4            1397         1453        
C1           2            6            1453         1463        
C1           22           7            1463         1473        
C1           26           4            1570         1762        
C1           4            6            1762         1772        
C1           12           2            1772         1882        
C1           12           3            1882         1890        
C1           16           2            1890         2000        
C1           50           5            2096         2104        
C1           49           6            2236         2242        
C2           5            1            0            8           
C2           8            1            8            16          
C2           12           1            16           20          
C2           38           1            20           38          
C2           31           1            38           43          
C2           39           1            43           49          
C2           30           2            49           128         
C2           19           2            128          207         
C2           17           2            207          213         
C2           27           2            213          292         
C2           7            1            292          300         
C2           28           1            300          339         
C2           8            2            339          355         
C2           4            2            355          365         
C2           2            3            365          375         
C2           9            2            375          485         
C2           55           2            485          519         
C2           31           2            519          753         
C2           22           3            753          792         
C2           49           1            792          797         
C2           46           3            797          800         
C2           21           4            800          834         
C2           8            6            834          898         
C2           32           4            898          954         
C2           35           5            954          1059        
C2           8            7            1059         1071        
C2           51           2            1071         1242        
C2           32           5            1242         1252        
C2           2            5            1252         1271        
C2           18           1            1271         1277        
C2           33           2            1277         1511        
C2           29           3            1511         1550        
C2           50           1            1550         1555        
C2           51           3            1555         1558        
C2           26           3            1558         1570        
C2           4            4            1570         1610        
C2           18           4            1610         1614        
C2           2            7            1614         1635        
C2           2            8            1635         1695        
C2           34           5            1695         1705        
C2           32           7            1705         1713        
C2           33           6            1713         1791        
C2           47           1            1791         1833        
C2           4            7            1833         1854        
C2           33           7            1854         1862        
C2           4            8            1862         1922        
C2           31           5            1922         1932        
C2           20           2            1932         2011        
C2           20           3            2011         2015        
C2           10           3            2015         2023        
C2           47           4            2023         2029        
C2           36           4            2029         2039        
C2           48           5            2039         2042        
C2           52           2            2042         2213        
C2           52           3            2213         2216        
C2           25           2            2216         2228        
C2           49           5            2228         2236        
C2           41           1            2236         2240        
C2           54           3            2240         2248        
C2           22           10           2888         2967        
C3           29           1            0            39          
C3           24           1            39           93          
C3           38           2            93           147         
C3           5            2            147          163         
C3           1            1            163          173         
C3           11           1            173          177         
C3           21           1            177          189         
C3           32           1            189          194         
C3           22           1            194          206         
C3           1            2            206          216         
C3           6            1            216          224         
C3           37           1            224          242         
C3           48           2            242          248         
C3           40           1            248          254         
C3           5            4            255          260         
C3           5            5            260          267         
C3           45           1            267          283         
C3           36           1            283          297         
C3           3            2            297          307         
C3           44           1            307          313         
C3           23           2            315          381         
C3           7            2            381          397         
C3           21           2            397          457         
C3           2            4            457          497         
C3           22           2            497          557         
C3           9            3            557          565         
C3           56           3            565          610         
C3           48           3            610          625         
C3           54           1            625          633         
C3           5            8            646          679         
C3           7            6            682          746         
C3           32           3            746          775         
C3           28           3            775          814         
C3           34           2            814          1048        
C3           22           4            1048         1082        
C3           7            8            1082         1115        
C3           8            8            1115         1148        
C3           6            5            1148         1155        
C3           1            5            1155         1174        
C3           22           5            1174         1179        
C3           1            6            1179         1189        
C3           6            6            1189         1253        
C3           3            6            1253         1263        
C3           42           3            1263         1267        
C3           55           5            1271         1316        
C3           6            8            1316         1349        
C3           22           6            1349         1373        
C3           14           3            1381         1389        
C3           18           3            1397         1401        
C3           24           2            1401         1467        
C3           33           3            1511         1540        
C3           31           4            1540         1596        
C3           4            5            1610         1629        
C3           49           3            1629         1703        
C3           21           11           1734         1758        
C3           1            8            1781         1841        
C3           47           3            1841         1856        
C3           36           3            1856         1903        
C3           50           3            1995         2069        
C3           39           4            2069         2182        
C3           34           7            2234         2242        
C3           41           3            2309         2313        
C3           15           2            2313         2423        
C3           40           4            2902         3015        
C4           30           1            0            39          
C4           17           1            39           45          
C4           35           1            45           59          
C4           27           1            59           98          
C4           19           1            98           102         
C4           9            1            102          106         
C4           35           2            106          174         
C4           53           2            174          287         
C4           3            1            287          297         
C4           35           3            297          344         
C4           2            2            344          354         
C4           8            3            355          399         
C4           11           2            399          509         
C4           7            4            509          514         
C4           11           3            514          522         
C4           33           1            522          527         
C4           1            3            527          537         
C4           55           3            537          582         
C4           26           2            582          594         
C4           1            4            594          634         
C4           37           3            634          694         
C4           45           2            694          712         
C4           20           1            712          716         
C4           46           2            716          734         
C4           43           1            734          740         
C4           52           1            740          743         
C4           7            7            746          758         
C4           31           3            758          787         
C4           25           1            787          793         
C4           42           1            793          797         
C4           15           1            797          801         
C4           8            5            805          812         
C4           56           4            812          962         
C4           13           3            1004         1012        
C4           6            4            1048         1053        
C4           3            4            1058         1098        
C4           21           6            1098         1122        
C4           3            5            1122         1141        
C4           56           5            1141         1186        
C4           56           6            1186         1189        
C4           42           2            1189         1258        
C4           3            7            1263         1284        
C4           55           6            1316         1319        
C4           3            8            1319         1379        
C4           10           2            1379         1489        
C4           33           4            1540         1596        
C4           33           5            1596         1606        
C4           21           10           1655         1734        
C4           49           4            1734         1761        
C4           47           2            1833         1839        
C4           54           2            1839         1952        
C4           16           3            2000         2008        
C4           47           5            2029         2032        
C4           50           4            2069         2096        
C4           50           6            2104         2110        
C4           25           3            2228         2240        
C4           41           2            2240         2309        
C4           31           7            2390         2398        
C4           25           4            2398         2590        
C4           40           3            2590         2902        
C4           15           3            2902         2910        
C4           22           11           2967         2991        
L1           38           3            147          399         
L1           36           2            399          699         
L1           39           3            699          1011        
L1           3            9            1379         1491        
L1           3            10           1491         1536        
L1           7            14           1733         1741        
L1           7            15           1741         1749        
L1           1            9            1841         1953        
L1           2            9            1953         2065        
L1           2            10           2065         2110        
L1           1            10           2110         2155        
L1           4            9            2155         2267        
L1           4            10           2267         2312        
L1           31           6            2312         2390        
LX1          19           5            250          418         
LX1          17           4            418          454         
LX1          27           4            454          634         
LX1          5            7            634          646         
LX1          17           5            646          691         
LX1          53           5            691          781         
LX1          53           6            781          793         
LX1          37           4            793          823         
LX1          38           5            823          853         
LX1          38           6            853          889         
LX1          23           9            889          901         
LX1          46           4            901          907         
LX1          44           2            907          919         
LX1          17           10           990          1002        
LX1          11           6            1029         1048        
LX1          46           6            1048         1085        
LX1          7            10           1121         1429        
LX1          7            11           1429         1519        
LX1          9            5            1519         1535        
LX1          28           7            1535         1558        
LX1          55           7            1558         1633        
LX1          21           9            1633         1655        
LX1          9            6            1655         1674        
LX1          51           4            1674         1680        
LX1          5            11           1684         1774        
LX1          35           7            1774         1930        
LX1          5            17           1930         1936        
