year,id,name,branch,genre,cityname,area,location,path,lng,lat,pricelevel,star,taste,environment,service,comments,tags,dishs,groupon,delivery,open_year,survival
2021,1,二子排档,鹤望路店,小吃快餐,上海,嘉定区,鹤望路485号,距地铁13号线金运路站1号口步行790m,121.318779,31.246325,100to150,3.6,3.6,3.5,3.7,24,沿街餐厅_人均30以内_人均50以内_随便吃吃_学生党吃饭,蒜蓉生蚝_3|青椒猪耳_2|皖南土公鸡_3|青椒炒臭干_1|酸辣鸡胗_2|韭菜螺丝肉_2|北极贝_3|花生_2|芦蒿炒香干肉丝_1|酸辣藕带_1|铁板鱿鱼须_2|水阳三宝_2|特色粉蒸肉_1|韭菜炒蛋_2|,0,1,2016,1
2021,2,香吧岛盱眙龙虾,,小吃快餐,上海,普陀区,大华路1350号、1352号,距地铁7号线行知路站3号口步行660m,121.411803,31.286502,100to150,3.6,3.6,3.6,3.6,131,工作餐,两斤蒜蓉小龙虾_1|爆炒尤鱼_1|小炒肥牛_1|,1,0,2017,1
2021,3,盈田盈粥庄,黄兴公园店,小吃快餐,上海,杨浦区,安波路497号,距地铁8号线翔殷路站3号口步行430m,121.525156,31.304103,100to150,4.4,4.4,4,4.1,2896,复古主题餐厅_牛蛙好吃_有吸烟区,牛肉_454|三黄鸡_270|虾饺皇_28|粉丝扇贝_15|核桃包_11|酱爆腰花_6|炒时蔬_4|煲仔粥_2|特色炒面_928|干贝_304|姜葱炒猪颈肉_252|姜葱炒竹蛏_34|椰汁糕_26|豉椒鸡胗_14|开胃菜_9|生滚皮蛋瘦肉粥_7|上汤娃娃菜_5|笋片_2|蛤蜊_369|飘香榴莲酥_191|白粥_35|干锅牛蛙_27|姜葱响螺片_21|金针菇_7|猪腰_7|二人套餐_6|南瓜饼_4|白灼芥兰_2|小鲍鱼_158|椒盐虾_142|黑鱼_28|小菜_19|天鹅蛋_10|生滚鱼片粥_7|香芋糕_6|生滚滑鸡粥_2|仙贝_2|牛舌_68|蒜香鸡中翅_75|干锅鸡_11|紫薯球_12|豆豉炒生肠_3|奶黄包_3|膏蟹_42|墨鱼丸_57|酥炸牛蛙_13|青鱼片_12|小炒皇_2|蘑菇粒_2|生蚝_39|煎饺_46|盈田盈海鲜煲_11|干炒牛河_10|榨菜蒸鸡_3|豉椒牛肚_3|芹菜粒_70|流沙包_104|春卷_13|生滚皮蛋菜粥_10|豉椒炒生肠_3|腰果掌中宝_5|生滚猪肝菠菜粥_74|鲜带子_78|生煎包_14|铁板鱿鱼_12|炒米粉_5|姜葱鸡胗_3|基围虾_765|里脊肉_37|生菜粒_142|酱爆猪肝_14|椒盐骨_13|脆香骨_6|白灼广东菜心_4|海鲜汤_2|,0,0,2013,1
2021,4,Stargazer Grill 星露台餐厅,,小吃快餐,上海,浦东新区,申迪西路上海迪士尼乐园明日世界旁,距地铁11号线迪士尼站1号口步行1.1km,121.653803,31.143342,100to150,3.8,3.7,4.1,3.9,1626,有舞台表演_有景观位_有露天位_4-6人套餐,星露台可乐苏打冰_14|星露台烤牛排_9|香蕉_6|儿童鸡柳套餐_2|牛排洋葱圈套餐_2|惊奇队长炸鸡套餐_103|芝士牛肉汉堡套餐_252|火鸡腿汉堡套餐_9|星黛露特饮_7|鱼排汉堡套餐_3|爆米花_2|素汉堡_9|鱼柳儿童餐_11|南瓜韩式猪排汉堡_6|热巧克力_6|新年麻辣汉堡套餐_2|川味鸡排汉堡_2|韩式猪肉汉堡套餐_46|鱼柳汉堡套餐_32|极速战鸡盛宴_3|升级饮料_3|鸡翅_2|牛肉汉堡肉饼_2|炸薯条_11|美队特饮_13|鸡块_3|米饭_4|复仇者联盟牛肉汉堡_20|麻辣鸡肉汉堡_18|泡菜猪排汉堡套餐_3|炸鱼柳_3|家庭套餐_24|番茄酱_17|酸奶_4|炸鳕鱼条_4|扒鸡柳儿童餐_39|川味鸡肉汉堡套餐_100|酸黄瓜_3|米奇冰淇淋_4|鸡排薯条套餐_68|香脆鸡配薯条_54|火鸡汉堡_7|蜂蜜柚子果汁_5|蜂蜜柚子茶_2|英雄虾肉汉堡_2|复仇者联盟和牛汉堡_17|烤牛排套餐_7|火鸡腿_4|炸鸡腿_3|可乐冰沙_2|,0,0,2016,1
2021,5,喜顶上品海胆水饺,仲盛世界商城店,小吃快餐,上海,闵行区,都市路5001号仲盛世界商城4层420室,距地铁1/5号线莘庄站南口步行280m,121.381891,31.109118,100to150,4.8,4.8,4.8,4.8,1103,付费停车_可自助点餐_可自助结账_可拼桌_有充电宝,生腌大红虾_197|芥辣小鲜鱿_31|白切鸡_10|黑松露水饺_8|香椿豆腐_4|毛桃汁_3|燕麦薏米酸奶_31|雪菜蒸黄花鱼_25|芦笋鲜肉水饺_21|牛腩烧萝卜_5|一品乳鸽_6|八宝茶_3|海鲜大拉皮_3|养生茶_34|松仁土豆丝_38|原汁海胆萝卜_8|香汁秋葵_12|椒麻鸡_4|蜜桃汁_3|蟹粉豆腐_62|原汁海胆水饺_40|蜂蜜脆苦瓜_7|海鲜泡饭_7|苦瓜排骨汤_2|雪菜蒸黄鱼_2|原汁黄蚬子_156|海胆炖豆腐汤_73|捞汁海中鲜_6|糖醋梅子小排_8|焦糖豆花_296|金钩白菜_26|黑蒜小排_14|捞汁鸟贝_14|海胆狮子头_50|海胆拉皮_89|滋补山药稀饭_7|海鲜疙瘩汤_7|灌汤虾球_109|黄瓜鸡蛋虾仁水饺_93|椒麻小仁鲜_11|海胆娃娃菜_9|东北五常大米_2|口水鸡_2|鲜虾泡饭_130|奇妙虾球_24|蟹粉水饺_17|海带鲜肉水饺_4|白灼西兰花_3|一品臭鳜鱼_2|招牌海胆水饺_510|砂锅凤爪_169|全虾水饺_23|养生海带饺_17|卤干丝拌香椿_4|虾酱西兰花_2|,1,1,2019,1
2021,6,裕兴记面馆,人民广场店,小吃快餐,上海,黄浦区,湖北路151号,距地铁2号线南京东路站4号口步行570m,121.47641000000002,31.234987,100to150,4.6,4.6,4.4,4.6,7459,有WIFI_有8人-10人大桌_美团充电宝_老字号,蟹天蟹地豪华双人餐_819|虾仁蟹粉两面黄_83|香菇_62|小番茄_19|蟹天蟹地_35|蟹黄小笼_1059|红汤面底_462|炸猪排_65|蟹粉汤包_61|油爆虾_20|鸡头米虾仁_18|虾仁蟹粉面_774|枫镇大肉面_211|焖肉_62|腰花虾仁两面黄_61|蛋汁牛蛙_20|秃黄油面_1577|三虾面_1519|鸡头米_86|蟹粉蹄筋面_68|苏州汤包_51|蟹粉蹄筋_21|虾仁鳝背红汤面_18|裕兴什锦_97|生炒鳝背_371|五香素鸡_24|生炒腰花_25|蟹粉面_259|秃黄油_217|蟹粉虾仁_44|小馄饨_28|六月黄面_113|猪肝_130|鲜肉虾仁小笼包_43|罗汉净素_41|手剥虾仁_269|开洋葱油拌面_103|鳝糊_48|富贵三宝豪华双人套餐_44|蟹黄面_701|苏式面_72|白汤面底_49|菊花鱼_35|蛋黄狮子头_19|松鼠桂鱼_344|周庄雪菜_70|八宝辣酱_48|松鼠桂鱼面_39|糟溜黑鱼片_9|精美小菜_7|鸡头米百合汤_5|裕兴冷面_4|裕兴菌菇_2|六月黄_10|虾仁肉丝_6|什锦两面黄_5|秃黄油虾仁鳝背红汤拌面_5|虾仁蟹粉套餐_3|姜片酱菜_2|酸菜肚片_2|酱鸭_14|富贵满堂三人餐_8|荠菜馄饨_4|闷蹄_4|黑椒牛柳浇头_2|壳黄油_2|姜丝_10|蟹柳_6|苏式辣酱_5|鳝背素什锦浇头_5|虾仁炒肉_2|虾子虾仁面_2|虾仁腰花_9|蟹天蟹地豪华双人套餐_12|黑木耳笋丁炒肉_4|尖椒牛柳_4|市民炒肉_6|菜肉大馄饨_6|蟹醋_3|小瓶维他奶_3|枫镇大肉_12|金牌蟹黄汤包_8|普洱茶_4|蟹黄蟹脚面_4|蛤蜊蟹粉面_2|虾仁腰花浇头_2|三虾浇头_7|松子鲈鱼_7|青菜_3|裕兴记拌面_3|红汤底_16|羊肉面_6|八宝辣酱面_6|蟹黄小馄饨_3|虾仁蹄筋面_3|春笋里脊_2|爆鱼_14|咸菜_12|蟹粉浇头_6|例汤_5|苏式鲜肉小笼包_2|糟溜鱼片面_2|裕兴什锦面_2|,1,1,2019,1
2021,7,珊岛家宴,虎林路店,小吃快餐,上海,宝山区,虎林路75号,距建工护理医院步行1.4km,121.455489,31.329867,150to200,3.8,3.9,3.6,3.7,52,下午茶可用_午市可用_节假日可用_晚市可用_沿街餐厅,咸菜野茭白_5|花雕酒_2|牛油果色拉_1|白宰鸡_18|炒肉瓜_2|珊岛特色炒肉片_1|老鴉冬瓜湯_1|醬豬肝_2|自酿米酒_2|门腔_4|糟烧鲫鱼_5|乾煎帶魚_1|現拆蟹粉_1|金瓜丝_9|菜花河鳗_4|椒盐羊排_1|蛋饺_3|红烧鸭子_2|肉糜粉皮豆腐_3|红焖崇明羊肉_8|蟹粉燒粉皮_1|金瓜絲拌海蜇_1|野生甲鱼_3|珊岛特色煎蛋_3|茄丝毛豆小白虾_5|油浸带鱼_16|黑毛猪鲍鱼_1|野生黄鳝_1|崇明紅燒肉_15|珊岛特色水煮鱼_4|芋儿毛豆_1|,0,0,2008,1
2021,8,宁夏盐池滩羊肉专卖店,,小吃快餐,上海,浦东新区,张杨路1303号（张杨路与源深路交叉口西行70米路北）,距地铁6号线源深体育中心站4号口步行180m,121.528302,31.234821000000004,150to200,3.6,3.8,3.6,3.6,43,沿街餐厅_人均30以内_人均50以内_随便吃吃_学生党吃饭,羊肉_27|水煮羊排_4|法式羊排_2|羊小排牛小排_2|煎牛排_2|,0,0,2015,1
2021,9,水岸扬泰·東臺魚湯面,,小吃快餐,上海,浦东新区,锦延路83号,距地铁2号线上海科技馆站8号口步行1.3km,121.533449,31.21930900000001,200to300,3.4,3.5,3.7,3.5,58,手机支付_有8人-10人大桌_10人－20人包厢_10人以下包厢_美团充电宝_可刷卡,老卤猪头肉_2|手工荠菜春卷_2|砗鳌涨蛋_4|大闸蟹_7|炭烤辽参_4|自家手瓣豆腐_4|招牌特色鱼汤面_33|麻虾蒸蛋_15|原生态菌菇老母鸡汤_1|红烧崇明羊肉_1|特色拌百叶_1|糍粑_12|萝卜丝大蛏_6|原味板栗南瓜_1|滋补松茸老鸡汤_1|蟹粉烩蹄筋_1|韭菜炒百叶_2|手工香肠双拼_3|野生鲫鱼冻_3|沙姜猪脚_4|功夫汤_3|脆鳝_7|松茸黑毛猪狮子头_6|水芹炒香干_1|冰镇龙虾王_9|干丝_6|香葱野河虾_1|,0,0,2018,1
2021,10,窑雞王,白银路店,小吃快餐,上海,嘉定区,白银路1495号1层,距地铁11号线白银路站2号口步行660m,121.235569,31.345912,50to100,3.7,3.7,3.7,3.8,24,可自助结账_手机支付_免费wifi_可停车_有WIFI,卤香海带结_1|窑鸡_21|卤香鸡腿_2|花旗参鸡汤_1|卤香毛豆_1|卤香鸡爪_2|盐焗鸡心_1|盐爆花生米_3|盐焗鸡翅_7|盐焗鹌鹑蛋_2|卤香鸭头_2|腊味饭_3|卤香藕片_1|,1,1,2018,1
