质量_A
t	x	y
0.000000000E0	-5.008297734E-3	2.695555827E-2
3.333333333E-2	-4.858933920E-2	6.718421194E-2
6.666666667E-2	-9.887515629E-2	1.208224168E-1
1.000000000E-1	-1.525133612E-1	1.711082339E-1
1.333333333E-1	-1.683604468E-1	2.360565986E-1
2.333333333E-1	-1.768078003E-1	3.205301329E-1
2.666666667E-1	-1.831433153E-1	3.310893247E-1
3.000000000E-1	-1.768078003E-1	3.395366782E-1
4.333333333E-1	-2.000380222E-1	2.571749822E-1
4.666666667E-1	-2.211564058E-1	1.917079931E-1
5.000000000E-1	-2.359392743E-1	1.748132863E-1
5.333333333E-1	-2.359392743E-1	1.938198315E-1
5.666666667E-1	-2.676168497E-1	1.621422561E-1
6.000000000E-1	-2.845115565E-1	1.220173273E-1
6.333333333E-1	-3.056299401E-1	1.135699739E-1
6.666666667E-1	-3.351956771E-1	8.822791361E-2
7.000000000E-1	-3.584258990E-1	7.555688346E-2
7.333333333E-1	-3.943271511E-1	4.599114646E-2
7.666666667E-1	-4.069981813E-1	2.064908616E-2
8.000000000E-1	-4.133336963E-1	1.220173273E-2
8.333333333E-1	-4.450112717E-1	-4.692974128E-3
8.666666667E-1	-4.597941402E-1	-4.692974128E-3
9.000000000E-1	-4.851362005E-1	-5.326525635E-2
9.333333333E-1	-4.956953923E-1	-6.593628650E-2
9.666666667E-1	-5.294848060E-1	-1.060612153E-1
1.000000000E0	-5.506031896E-1	-1.229559222E-1
1.033333333E0	-5.801689266E-1	-1.482979824E-1
1.066666667E0	-5.886162800E-1	-1.525216592E-1
1.100000000E0	-6.181820170E-1	-1.715282044E-1
1.133333333E0	-6.561951075E-1	-1.841992345E-1
1.166666667E0	-6.942081979E-1	-2.243241633E-1
1.200000000E0	-7.195502582E-1	-2.496662236E-1
1.233333333E0	-7.406686418E-1	-2.665609305E-1
1.266666667E0	-7.681225404E-1	-2.792319606E-1
1.300000000E0	-7.934646007E-1	-3.024621826E-1
1.333333333E0	-8.357013679E-1	-3.446989497E-1
1.366666667E0	-8.547079131E-1	-3.827120401E-1
1.400000000E0	-9.370696090E-1	-4.122777772E-1
1.433333333E0	-9.708590227E-1	-4.376198374E-1
1.500000000E0	-1.030838966E0	-5.077502967E-1
1.533333333E0	-1.054305681E0	-5.312170113E-1
1.566666667E0	-1.096210528E0	-5.982647674E-1
1.600000000E0	-1.171639254E0	-6.535791662E-1
1.633333333E0	-1.203486938E0	-6.837506565E-1
1.666666667E0	-1.243715592E0	-7.105697589E-1
1.700000000E0	-1.295677603E0	-7.642079638E-1
1.733333333E0	-1.340934838E0	-8.094651992E-1
1.766666667E0	-1.387868267E0	-8.513700468E-1
1.800000000E0	-1.434801697E0	-8.815415370E-1
1.833333333E0	-1.454916024E0	-9.066844455E-1
1.866666667E0	-1.520287586E0	-9.586464565E-1
1.900000000E0	-1.560516239E0	-1.002227498E0
1.933333333E0	-1.646002128E0	-1.082684805E0
1.966666667E0	-1.697964139E0	-1.143027786E0
2.000000000E0	-1.728135630E0	-1.171523082E0
2.033333333E0	-1.796859580E0	-1.230189869E0
2.066666667E0	-1.858878754E0	-1.288856655E0
2.100000000E0	-1.909164571E0	-1.344171054E0
2.133333333E0	-1.979564715E0	-1.394456871E0
2.166666667E0	-2.049964859E0	-1.454799852E0
2.200000000E0	-2.123717391E0	-1.525199996E0
