"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.340903300E-2,2.955330610E0,-4.448230267E-1,-3.551811218E0,4.641897184E0
3.325156300E-2,8.228979111E-1,5.855979919E-1,-1.840670586E0,2.099560474E0
5.307419500E-2,-9.258947372E-1,1.453325033E0,3.314971924E-2,1.723523606E0
7.289652200E-2,-1.287435770E0,1.713824987E0,3.836231232E-1,2.177579769E0
9.271811700E-2,-5.599161386E-1,1.457300425E0,-5.972995758E-1,1.671525469E0
1.125296400E-1,1.015353203E-1,1.184779882E0,-9.098224640E-1,1.497260734E0
1.323620390E-1,3.284016848E-1,1.248948574E0,-7.260456085E-1,1.481506812E0
1.521842030E-1,2.768738270E-1,1.571739674E0,-7.173576355E-1,1.749750466E0
1.720065910E-1,1.493271589E-1,1.531637430E0,-1.157721519E0,1.925754640E0
1.918282470E-1,-1.341984868E-1,7.313437462E-1,-1.615351200E0,1.778266687E0
2.116400350E-1,2.861875296E-1,7.307384014E-1,-6.579856873E-1,1.024122589E0
2.314727590E-1,3.489241600E-1,1.727504969E0,1.027606964E0,2.040097439E0
2.512947810E-1,1.382708549E-1,2.385034800E0,1.822912216E0,3.005082157E0
2.711152360E-1,2.253988683E-1,1.911786318E0,1.226819992E0,2.282721811E0
2.909391090E-1,9.201364517E-1,1.292888641E0,6.384372711E-2,1.588171323E0
3.107501450E-1,1.182263136E0,1.255841970E0,-1.419544220E-1,1.730617299E0
3.305831940E-1,9.840520620E-1,1.487156630E0,7.363615036E-1,1.929305980E0
3.503948600E-1,6.686497331E-1,1.644815445E0,1.051588058E0,2.063576448E0
3.702272380E-1,6.413757801E-1,1.486889362E0,7.760467529E-1,1.795675759E0
3.900489750E-1,8.422936201E-1,1.212102652E0,-1.108741760E-1,1.480183929E0
4.098712210E-1,8.776129484E-1,4.264632463E-1,5.256767273E-1,1.108337227E0
4.296930800E-1,1.028843641E0,-5.520465374E-1,4.342327118E-1,1.245725759E0
4.495047460E-1,1.429007292E0,-1.734166861E0,-1.722297668E-1,2.253676914E0
4.693372460E-1,1.627963305E0,-2.170578480E0,2.880811691E-1,2.728491565E0
4.891527780E-1,1.061362505E0,-2.087848663E0,2.219990730E0,3.227066973E0
5.089816160E-1,-6.815433502E-3,-2.300428152E0,2.965621948E0,3.753255876E0
5.288041260E-1,-2.329068184E-1,-2.583979845E0,-2.859878540E-2,2.594612749E0
5.486175010E-1,9.598990679E-1,-2.635349274E0,-2.363936424E0,3.668060446E0
5.684478030E-1,2.137723446E0,-2.365889311E0,-1.903971672E0,3.713812312E0
5.882695610E-1,1.122441292E0,-1.534815550E0,1.163183212E0,2.229019608E0
6.080919490E-1,-1.055018902E-1,-6.269237995E-1,2.916417122E0,2.984904174E0
6.279144190E-1,-8.701509237E-2,-7.118787766E-1,1.858170509E0,1.991768225E0
6.477252710E-1,1.057126880E0,-1.138108015E0,-1.140341759E0,1.926963004E0
6.675583610E-1,4.040084839E0,-1.965539217E0,-4.642013073E0,6.460179199E0
6.873802600E-1,1.259236336E0,-5.880866051E-1,-9.904460907E-1,1.706606417E0
7.071923340E-1,2.227254808E-1,-2.868568897E-1,4.899778366E-1,6.098949052E-1
7.270242640E-1,1.295160532E0,-5.168273449E-1,4.188146591E-1,1.456007221E0
7.468462450E-1,1.784030437E0,-1.516874313E0,5.465021133E-1,2.404649006E0
7.666685930E-1,1.876046181E0,-1.777812123E0,2.369813919E-1,2.595443199E0
7.864907980E-1,1.337565184E0,-1.802525520E-1,9.437274933E-2,1.352951521E0
8.063152200E-1,8.619739413E-1,7.501831055E-1,-1.022405624E-1,1.147269323E0
8.261348820E-1,3.033124804E-1,6.213424206E-1,-2.528858185E-1,7.362174282E-1
8.459500690E-1,3.556072712E-2,2.602910995E-2,4.493246078E-1,4.514805456E-1
8.657483480E-1,3.650290370E-1,-9.284696579E-1,1.336440086E0,1.667745247E0
8.856007240E-1,9.781571031E-1,-1.144599438E0,1.277892113E0,1.974818332E0
9.054231530E-1,6.906782389E-1,-1.000659347E0,1.316033363E0,1.791730831E0
9.252452160E-1,6.500588655E-1,-1.121032953E0,1.160108566E0,1.739293907E0
9.450566990E-1,1.359832168E0,-1.876573205E0,8.936414719E-1,2.483800636E0
9.648891380E-1,1.759391785E0,-2.080839872E0,5.664625168E-1,2.783205671E0
9.847116480E-1,1.678712606E0,-1.928066254E0,-2.025203705E-1,2.564474604E0
1.004533731E0,1.112405181E0,-1.230361462E0,-7.514266968E-1,1.820954885E0
1.024345092E0,1.609318614E0,-6.115500927E-1,-1.007705688E0,1.994836001E0
1.044172872E0,4.072785378E-1,7.958147526E-1,-4.005851746E-1,9.796251374E-1
1.063996786E0,-4.797577858E-1,2.056297779E0,1.188914299E0,2.423230344E0
1.083821493E0,7.317691445E-1,2.163433552E0,2.311245918E0,3.249275074E0
1.103643943E0,1.768466949E0,1.075074434E0,2.427281380E0,3.189820573E0
1.123466189E0,1.962948084E0,5.276894569E-1,1.580311775E0,2.574685738E0
1.143269026E0,1.591592908E0,9.123315811E-1,7.256793976E-2,1.835969227E0
1.163109826E0,6.348505020E-1,1.573054552E0,-2.105607986E-1,1.709348307E0
1.182911442E0,7.716363668E-2,9.461987019E-1,-5.299358368E-1,1.087234198E0
1.202734583E0,1.041822553E0,-7.153638601E-1,-1.329111099E0,1.834032714E0
1.222555568E0,1.729759693E0,-2.285520077E0,-1.393921852E0,3.187269795E0
1.242379827E0,1.913753510E0,-3.131011248E0,-1.052075386E0,3.817400496E0
1.262205715E0,1.468788385E0,-3.254362106E0,-2.930164337E-1,3.582467121E0
1.282027249E0,7.448899746E-1,-2.620898485E0,1.211547852E-1,2.727388573E0
1.301849820E0,4.490646124E-1,-1.896666408E0,1.450262070E-1,1.954491005E0
1.321672045E0,7.820736170E-1,-1.662940979E0,9.029769897E-2,1.839881930E0
1.341485726E0,1.049546957E0,-1.940714717E0,1.749105453E-1,2.213259164E0
1.361330534E0,1.189371824E0,-1.870285273E0,7.711420059E-1,2.346749311E0
1.381152902E0,1.016618133E0,-1.616307259E0,5.954580307E-1,2.000132958E0
1.400974903E0,5.067147613E-1,-7.193930149E-1,4.301815033E-1,9.794602008E-1
1.420786570E0,8.901973963E-1,-2.576351166E-1,-2.359304428E-1,9.562899307E-1
1.440618968E0,1.009684086E0,-1.162803173E-1,-1.570234299E-1,1.028415978E0
1.460441214E0,1.155668497E0,-2.925450802E-1,-2.977371216E-2,1.192492672E0
1.480241955E0,1.050031304E0,-3.157932758E-1,-2.134084702E-1,1.117065042E0
1.500075818E0,9.971908331E-1,1.778116226E-1,-1.683549881E-1,1.026815433E0
1.519896842E0,9.369244576E-1,4.460933208E-1,1.322832108E-1,1.046100157E0
1.539712131E0,9.584248066E-1,2.028038502E-1,-5.045509338E-2,9.809450688E-1
1.559551263E0,1.116088867E0,-1.384470463E-1,-9.653282166E-2,1.128778335E0
1.579370558E0,1.029199243E0,-1.622691154E-1,1.851358414E-1,1.058233257E0
1.599196304E0,1.089264750E0,-2.359030247E-1,5.185089111E-1,1.229227166E0
1.619017939E0,1.133676052E0,-4.119911194E-1,4.865550995E-1,1.300651352E0
1.638839615E0,1.029297709E0,-3.325898647E-1,-2.886772156E-3,1.081701496E0
1.658651220E0,5.943200588E-1,7.763791084E-2,-2.807416916E-1,6.618609181E-1
1.678479346E0,7.505077124E-1,-9.296417236E-2,-1.096534729E-1,7.641518486E-1
1.698306047E0,1.018788695E0,-5.548496246E-1,3.890647888E-1,1.223584865E0
1.718128313E0,1.337084413E0,-1.003581166E0,8.059511185E-1,1.855943719E0
1.737937782E0,1.150868177E0,-9.526293278E-1,5.215473175E-1,1.582406965E0
1.757761717E0,7.192844152E-1,-4.802882671E-1,-1.285820007E-1,8.744027793E-1
1.777594440E0,5.796762109E-1,-4.690599442E-2,-3.113861084E-1,6.596862817E-1
1.797416340E0,7.151490450E-1,-1.493289471E-1,-1.479892731E-1,7.454113736E-1
1.817238586E0,9.643464088E-1,-6.483125687E-1,-1.688671112E-2,1.162135252E0
1.837060628E0,1.247960091E0,-1.031241775E0,3.498582840E-1,1.656280412E0
1.856882629E0,1.226079702E0,-9.885131121E-1,3.921308517E-1,1.623020707E0
1.876693929E0,1.025392652E0,-6.008970737E-1,-1.457223892E-1,1.197389827E0
1.896526490E0,9.146053195E-1,-2.519102097E-1,-5.217485428E-1,1.082674090E0
1.916355938E0,9.886351824E-1,-2.462122440E-1,-2.576971054E-1,1.050917595E0
1.936170880E0,1.098543644E0,-4.215116501E-1,-1.923913956E-1,1.192260315E0
1.955992963E0,1.130309939E0,-4.351100922E-1,-5.211343765E-1,1.318522806E0
1.975815514E0,1.035316229E0,-4.774708748E-1,-2.951107025E-1,1.177687759E0
1.995637495E0,1.001735806E0,-5.518162251E-1,3.342189789E-1,1.191502454E0
2.015459375E0,9.560845494E-1,-6.763067245E-1,2.970371246E-1,1.208188522E0
2.035281519E0,1.078067422E0,-7.535152435E-1,-2.471103668E-1,1.338311668E0
2.055093002E0,1.158278227E0,-8.951303959E-1,-3.807296753E-1,1.512554780E0
2.074914638E0,1.076147676E0,-8.744560480E-1,2.490472794E-1,1.408826372E0
2.094747259E0,1.078269005E0,-7.200154066E-1,1.070872307E0,1.681622351E0
2.114569281E0,1.151672721E0,-6.900422573E-1,9.285554886E-1,1.632398134E0
2.134391710E0,1.163570046E0,-6.663126945E-1,5.456466675E-1,1.447618094E0
2.154214058E0,9.468265772E-1,-3.735728264E-1,-2.389631271E-1,1.045533644E0
2.174025012E0,7.661867142E-1,-1.355314255E-2,-7.128868103E-1,1.046629530E0
2.193857776E0,8.663584590E-1,-7.407426834E-2,-2.450685501E-1,9.033950249E-1
2.213679758E0,1.218457937E0,-5.123811960E-1,6.981000900E-1,1.494830415E0
2.233502085E0,1.414210558E0,-9.001071453E-1,1.175295830E0,2.047316454E0
2.253330292E0,1.157202721E0,-8.849514723E-1,8.895120621E-1,1.706894535E0
2.273146394E0,8.079764843E-1,-3.862025738E-1,-3.342342377E-2,8.961559867E-1
2.292963187E0,7.988702059E-1,-7.058382034E-2,-6.884098053E-2,8.049315264E-1
2.312782239E0,1.101720333E0,-5.082647800E-1,4.811277390E-1,1.305222081E0
2.332612501E0,1.496196508E0,-1.502882719E0,1.030689240E0,2.357876326E0
2.352434359E0,1.703630924E0,-1.865477681E0,8.785600662E-1,2.674739818E0
2.372256687E0,1.484970331E0,-1.565422654E0,4.991931915E-1,2.214696099E0
2.392078668E0,1.105307460E0,-1.155025959E0,-2.550420761E-1,1.618899629E0
2.411901016E0,8.644924760E-1,-8.642147183E-1,-1.360138893E0,1.828713244E0
2.431722793E0,2.256178260E-1,-5.968809128E-4,-1.557336807E0,1.573595148E0
2.451545019E0,6.878737211E-1,4.304273129E-1,-1.169151306E0,1.423148869E0
2.471352514E0,6.563987136E-1,6.628537178E-2,-3.163232803E-1,7.316511733E-1
2.491178626E0,1.013121486E0,-5.299763083E-1,2.168197632E-1,1.163744320E0
2.511011166E0,1.273873210E0,-8.295716047E-1,-2.776107788E-1,1.545318655E0
2.530833127E0,8.552985191E-1,-6.942354441E-1,-4.814605713E-1,1.202207424E0
2.550655353E0,4.482885599E-1,-4.669543505E-1,-1.008285522E0,1.198185584E0
2.570477028E0,3.672558069E-1,-5.073568821E-1,-1.878661156E0,1.980317038E0
2.590292337E0,6.115934253E-1,-7.518243790E-1,-1.097902298E0,1.464471191E0
2.610110839E0,7.510579824E-1,-5.272953510E-1,1.159133911E-1,9.249672397E-1
2.629943440E0,1.215484023E0,-7.723777294E-1,1.399771690E0,2.008315103E0
2.649765503E0,1.354447007E0,-9.550944567E-1,2.217852592E0,2.768682401E0
2.669596883E0,1.258537054E0,-7.767704129E-1,1.703298569E0,2.255773438E0
2.689399272E0,5.669733286E-1,-3.019975424E-1,4.343175888E-1,7.754308731E-1
2.709224672E0,1.017676234E0,-2.420338392E-1,1.085510254E-1,1.051678954E0
2.729054059E0,1.435205102E0,-1.223473310E0,-5.041561127E-1,1.952146002E0
2.748876060E0,1.650651693E0,-1.647940993E0,-2.267570496E-1,2.343454563E0
2.768698265E0,1.306864858E0,-1.084608436E0,-3.665437698E-1,1.737419221E0
2.788520307E0,9.223986864E-1,-8.040528297E-1,-1.518182755E-1,1.233032473E0
2.808337019E0,8.458774686E-1,-6.073479652E-1,-1.612672806E-1,1.053749201E0
2.828153406E0,3.147865534E-1,3.746294975E-2,5.109977722E-2,3.211000374E-1
2.847986129E0,5.703377724E-2,2.405076027E-1,2.759666443E-1,3.704785385E-1
2.867808538E0,8.121380806E-1,-1.998119354E-1,4.631166458E-1,9.560178341E-1
2.887630845E0,1.116137981E0,-8.358168602E-1,6.747617722E-1,1.549082718E0
2.907441921E0,1.029505610E0,-1.006203175E0,3.025894165E-1,1.471015631E0
2.927275580E0,1.093453288E0,-8.921229839E-1,2.102518082E-1,1.426789870E0
2.947096666E0,1.085405350E0,-9.149297476E-1,-2.750053406E-1,1.445969970E0
2.966918749E0,5.874483585E-1,-2.960147858E-1,-6.480655670E-1,9.234226045E-1
2.986730375E0,1.261663675E0,-5.411055088E-1,5.520496368E-1,1.479644958E0
3.006552336E0,1.727688313E0,-1.136995316E0,8.689689636E-2,2.070076405E0
3.026385080E0,6.688400507E-1,-8.856387138E-1,1.103314400E0,1.564929906E0
3.046196746E0,7.302500010E-1,-1.202460527E0,2.105621338E0,2.532354162E0
3.066015208E0,1.235973001E0,-1.679858685E0,1.556213379E0,2.602182649E0
3.085851491E0,5.175726414E-1,-1.398948908E0,1.407176971E0,2.050630760E0
3.105669200E0,1.724093914E0,-1.583351135E0,2.820434570E0,3.665290140E0
3.125495169E0,1.356725216E0,-2.335807323E0,3.395505905E0,4.338912250E0
3.145317476E0,-1.444952488E-1,-2.615377903E0,-1.368586063E0,2.955352477E0
3.165139519E0,5.928227425E0,9.960477829E0,-3.841236496E1,4.012312028E1
3.184951022E0,-2.622517109E0,-1.924730778E0,4.761444092E0,5.766587760E0
3.204783969E0,-9.630065560E-1,-2.027484894E0,6.542616844E0,6.916929361E0
3.224605503E0,-2.063517094E0,1.920771599E0,-2.593592644E0,3.830690425E0
3.244424290E0,1.114146471E0,2.090761185E0,-4.998207092E0,5.531245685E0
3.264249994E0,2.378687382E0,-7.526516914E-1,-1.006337643E0,2.690233016E0
3.284071609E0,8.743644357E-1,-1.068216801E0,-3.431363106E-1,1.422442557E0
3.303894303E0,1.326715469E0,-1.291440010E0,1.472929001E0,2.365905974E0
3.323716448E0,9.203569293E-1,-6.773514748E-1,3.013723373E0,3.223102615E0
3.343538571E0,2.533954978E-1,-3.821887970E-1,1.280972481E0,1.360576367E0
3.363360349E0,1.022277832E0,-1.361046791E0,-4.279832840E-1,1.755183758E0
3.383182412E0,1.127164483E0,-1.383927822E0,5.561542511E-2,1.785734881E0
3.403004352E0,1.558332205E0,-2.167327642E0,1.248542786E0,2.946959019E0
3.422815938E0,4.191542268E-1,-1.385720968E0,1.917460442E0,2.402616784E0
3.442648254E0,7.838171721E-2,-1.157226801E0,2.177383423E0,2.467046034E0
3.462450175E0,5.174499154E-1,-8.205609322E-1,1.235909462E0,1.571160990E0
3.482293153E0,1.103787661E0,-8.499784470E-1,4.656953812E-1,1.468905289E0
3.502093487E0,2.020569801E0,-1.000459671E0,5.118551254E-1,2.312059157E0
3.521925966E0,7.483238578E-1,-7.429599762E-2,9.439830780E-1,1.206902044E0
3.541749107E0,1.419051170E0,-6.483135223E-1,-4.940958023E-1,1.636504601E0
3.561580833E0,4.560931921E-1,-5.341100693E-2,-1.056053638E0,1.151574150E0
3.581403120E0,6.881277561E-1,-4.351873398E-1,-5.455017090E-2,8.160168813E-1
3.601224918E0,5.095912218E-1,-1.070323944E0,2.044762611E0,2.363541981E0
3.621047103E0,1.161267996E0,-1.226612091E0,2.014359474E0,2.628833329E0
3.640869552E0,5.178649426E-1,3.970098495E-1,3.293333054E-1,7.309318336E-1
3.660681015E0,1.133452177E0,1.754961014E-1,-1.862414360E0,2.187258551E0
3.680513779E0,1.006836414E0,-1.052770615E-1,-2.056488037E0,2.292148746E0
3.700335781E0,8.901430368E-1,-5.340254307E-1,7.723178864E-1,1.293836429E0
3.720157477E0,-1.505003572E-1,-9.681029320E-1,2.342417717E0,2.539053841E0
3.739979845E0,-2.682070732E-1,-6.696503162E-1,2.225043297E0,2.339056274E0
3.759797879E0,1.559162140E0,5.889463425E-2,3.884273529E0,4.185933110E0
3.779623869E0,1.359647036E0,-8.766448498E-1,1.751472473E0,2.384282298E0
3.799446094E0,6.177300215E-1,-3.016715050E-1,-1.363056183E0,1.526603496E0
3.819258696E0,-3.516971767E-1,-7.109556198E-1,-2.873258591E-1,8.436260704E-1
3.839090382E0,-7.776998281E-1,-1.390633583E-1,-4.315290451E-1,9.002071745E-1
3.858894073E0,-5.657616258E-1,-9.621906281E-2,1.587492943E0,1.688039741E0
3.878734324E0,2.510405779E-1,-9.432106018E-1,3.098628044E0,3.248717188E0
3.898556631E0,9.392749071E-1,-1.443032265E0,2.058672905E0,2.683787174E0
3.918378592E0,2.293703318E0,-2.145556450E0,-4.763355255E0,5.705614838E0
3.938200329E0,1.110022664E0,-1.070900917E0,-1.744308949E0,2.328431403E0
3.958021903E0,-8.956393600E-2,-1.173057079E0,6.612300873E-2,1.178327994E0
3.977845085E0,-8.359341621E-1,-1.119929790E0,4.001798630E-1,1.453675542E0
3.997667046E0,-2.644783556E-1,-5.654249191E-1,-2.160520554E-1,6.605547899E-1
4.017478000E0,8.982492089E-1,-6.362857819E-1,-9.521365166E-1,1.455429553E0
4.037310886E0,1.391365528E0,-9.654064178E-1,3.556375504E-1,1.730429326E0
4.057122044E0,5.102571845E-2,-8.472819328E-1,7.741985321E-1,1.148857548E0
4.076955317E0,1.505667567E0,-1.949728966E0,3.900785446E-1,2.494120914E0
4.096766454E0,2.805972844E-2,-1.044155598E0,-7.204256058E-1,1.268881915E0
4.116599524E0,-4.344642162E-1,-3.905491829E-1,6.901607513E-1,9.042177183E-1
4.136410803E0,-6.843184233E-1,-1.077127457E-2,2.765429497E0,2.848860830E0
4.156236996E0,3.696182072E-1,-2.586178780E-1,4.790400505E0,4.811594104E0
4.176068824E0,7.366404533E-1,-7.891650200E-1,2.574529648E0,2.791706198E0
4.195875750E0,-3.481932282E-1,-7.142024040E-1,1.722631454E-1,8.130179515E-1
4.215709674E0,5.711536407E-1,-1.188861370E0,-1.256688595E0,1.821777721E0
4.235521646E0,1.288482189E0,-1.433831215E0,-9.202241898E-1,2.136087747E0
4.255343037E0,1.060530901E0,-1.515035391E0,-5.600881577E-1,1.932293138E0
4.275175821E0,1.009240866E0,-1.714541912E0,-4.371147156E-1,2.036980699E0
4.294998087E0,4.667365551E-1,-7.717323303E-1,-1.807346344E-1,9.198254234E-1
4.314820110E0,6.177513599E-1,1.527540684E-1,-4.606342316E-2,6.380222465E-1
4.334642396E0,2.124885798E0,-3.371813297E-1,7.392501831E-1,2.274933347E0
4.354463930E0,3.457050323E-1,3.451180458E-2,1.534320831E0,1.573163516E0
4.374286033E0,-1.271305680E0,7.961099148E-1,3.907604218E-1,1.550065430E0
4.394108685E0,-5.052076578E-1,6.259534359E-1,-1.212994576E0,1.455475291E0
4.413930565E0,3.166420460E-1,4.335594177E-2,-1.365892410E0,1.402784374E0
4.433741480E0,4.335787296E-1,-1.542367935E-1,-6.581850052E-1,8.031108294E-1
4.453553533E0,6.842923164E-1,-1.159034967E0,4.792699814E-1,1.428746914E0
4.473383652E0,2.984571457E-1,-9.670116901E-1,7.483444214E-1,1.258653109E0
4.493197943E0,5.781946182E-1,-1.070769548E0,-8.811922073E-1,1.502450049E0
4.513009202E0,1.260798693E0,-1.653581858E0,-2.737574577E0,3.437769752E0
4.532848151E0,6.955993176E-1,-1.119878888E0,-1.047308922E0,1.683699235E0
4.552670173E0,5.717356205E-1,-2.987859249E-1,1.701286316E0,1.819486130E0
4.572494433E0,3.988527060E-1,-2.804396152E-1,2.193787575E0,2.247317019E0
4.592312956E0,3.209972382E-1,-6.407315731E-1,2.781448364E-1,7.687266912E-1
4.612136564E0,4.686974287E-1,-1.465425968E0,2.186126709E-1,1.554008381E0
4.631973703E0,1.567793727E0,-2.996079683E0,2.072696686E0,3.966174755E0
4.651795562E0,2.765665054E0,-4.312839508E0,2.734491348E0,5.807489195E0
4.671606598E0,2.423950672E0,-4.164128304E0,1.251375198E0,4.978096150E0
4.691439565E0,1.947588205E0,-3.159855366E0,-1.183548927E0,3.895968918E0
4.711251171E0,1.035082340E0,-1.863867998E0,2.306327820E-1,2.144432523E0
4.731083731E0,-1.769053340E-1,-1.500461102E-1,1.822754860E0,1.837456016E0
4.750905305E0,-6.145138741E-1,2.546448708E-1,-3.382291794E-1,7.462374216E-1
4.770732373E0,-1.938899755E-1,-1.759653091E-1,-2.388593197E0,2.402901282E0
4.790549655E0,4.474887252E-2,-3.215413094E-1,-2.483173370E0,2.504304547E0
4.810361138E0,5.934706330E-2,-6.446528435E-1,-2.589235783E0,2.668940108E0
4.830183486E0,-8.797047138E-1,-1.111046314E0,-7.850723267E-1,1.620074953E0
4.850015883E0,-5.978756547E-1,-8.821179867E-1,5.158157349E-1,1.183914403E0
4.869838495E0,4.308911264E-1,-7.397129536E-1,1.411814690E0,1.651079385E0
4.889660334E0,1.151836395E0,-9.756195545E-1,6.163406372E-1,1.630471213E0
4.909482438E0,1.814998627E0,-2.011839867E0,3.336763382E-1,2.730029224E0
4.929304704E0,1.854900360E0,-2.014338970E0,1.553624153E0,3.148327309E0
4.949124386E0,7.735859752E-1,-7.815937996E-1,9.904127121E-1,1.479946441E0
4.968948402E0,5.907549858E-1,-3.424689770E-1,3.010749817E-3,6.828510219E-1
4.988770526E0,8.343892694E-1,-1.098748922E0,-1.360025406E-1,1.386344596E0
5.008582009E0,1.226366758E0,-1.605039239E0,1.112759590E0,2.306157039E0
5.028415139E0,1.819655657E0,-1.887500525E0,1.155239105E0,2.865027457E0
5.048236917E0,2.038665056E0,-1.676482916E0,3.217344284E-1,2.658996657E0
5.068059162E0,2.419356823E0,-1.335431337E0,3.536233902E-1,2.785985247E0
5.087880757E0,2.409944773E0,-1.272413492E0,2.914810181E-2,2.725384287E0
5.107702739E0,1.840896964E0,-8.835704327E-1,-6.307096481E-1,2.137145995E0
5.127525005E0,7.032977343E-1,-9.401865005E-1,-6.954402924E-1,1.364630191E0
5.147347332E0,3.087637424E-1,-1.355969667E0,-1.585633278E0,2.109080766E0
5.167158978E0,2.199172974E-3,-1.446900845E0,-6.790752411E-1,1.598333530E0
5.186991600E0,8.906583786E-1,-1.749805570E0,-8.509855270E-1,2.139922486E0
5.206813621E0,3.110983372E-1,-1.125168324E0,-2.980613708E-1,1.204834641E0
5.226635847E0,3.408455849E-1,-8.523712158E-1,1.892374039E0,2.103281223E0
5.246457767E0,-4.920114279E-1,-9.452056885E-1,2.360633850E0,2.589996373E0
5.266279809E0,7.491791248E-2,-4.978585243E-1,6.086854935E-1,7.899201439E-1
5.286101811E0,6.061569452E-1,1.084917545E0,-2.140064240E-1,1.261059504E0
5.305913009E0,-8.536899090E-1,2.963185072E0,-9.838886261E-1,3.236864078E0
5.325745834E0,-9.806956053E-1,3.233359814E0,-1.039413452E0,3.535075654E0
5.345552150E0,-6.760213971E-1,2.362842321E0,-1.042920113E0,2.669777355E0
