"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.343750000E1,1.826464694E-1
4.687500000E1,2.159731139E-1
7.031250000E1,3.160258098E-1
9.375000000E1,5.212898967E-1
1.171875000E2,1.931990125E-1
1.406250000E2,2.426171450E0
1.640625000E2,3.590378389E-1
1.875000000E2,1.745986917E-1
2.109375000E2,8.710725236E-1
2.343750000E2,9.926544020E-1
2.578125000E2,2.602467315E0
2.812500000E2,3.237164401E-1
3.046875000E2,1.002566613E0
3.281250000E2,8.535928349E-1
3.515625000E2,1.264919503E0
3.750000000E2,1.435756410E0
3.984375000E2,1.238799568E0
4.218750000E2,7.383387656E-1
4.453125000E2,4.438255597E-1
4.687500000E2,1.074536095E0
4.921875000E2,5.193915797E-1
5.156250000E2,9.786001340E-1
5.390625000E2,2.734855970E-1
5.625000000E2,4.711135367E-1
5.859375000E2,7.933946086E-1
6.093750000E2,6.124173825E-1
6.328125000E2,2.023528511E-1
6.562500000E2,1.951455259E-1
6.796875000E2,1.355486960E-1
7.031250000E2,5.918437698E-1
7.265625000E2,3.812784335E-1
7.500000000E2,1.624743106E-1
7.734375000E2,8.018704145E-2
7.968750000E2,1.385468599E-1
8.203125000E2,3.898666526E-1
8.437500000E2,4.119233757E-1
8.671875000E2,2.165904725E-1
8.906250000E2,2.667992247E-1
9.140625000E2,2.157289182E-1
9.375000000E2,3.308330876E-1
9.609375000E2,1.131602828E-1
9.843750000E2,3.280981927E-1
1.007812500E3,1.076279986E-1
1.031250000E3,1.113612397E-1
1.054687500E3,3.601787474E-2
1.078125000E3,2.401083449E-1
1.101562500E3,9.339014678E-2
1.125000000E3,1.529355899E-1
1.148437500E3,8.312900407E-2
1.171875000E3,1.257334797E-1
1.195312500E3,1.171338005E-1
1.218750000E3,9.631548965E-2
1.242187500E3,1.129913810E-1
1.265625000E3,1.177592267E-1
1.289062500E3,7.761037529E-2
1.312500000E3,7.544840005E-2
1.335937500E3,4.319008155E-2
1.359375000E3,1.623493682E-1
1.382812500E3,2.200943729E-1
1.406250000E3,1.341121043E-1
1.429687500E3,3.113731105E-2
1.453125000E3,1.531886662E-1
1.476562500E3,1.321799981E-1
1.500000000E3,7.098370512E-2
1.523437500E3,1.001457099E-1
1.546875000E3,2.865107024E-1
1.570312500E3,1.265096679E-1
1.593750000E3,1.535019988E-1
1.617187500E3,6.505981127E-2
1.640625000E3,2.320304264E-2
1.664062500E3,2.044731945E-1
1.687500000E3,2.192691927E-1
1.710937500E3,1.033405887E-1
1.734375000E3,1.840860559E-1
1.757812500E3,1.364989641E-1
1.781250000E3,4.197566256E-2
1.804687500E3,7.241920184E-2
1.828125000E3,2.797090283E-1
1.851562500E3,2.300570260E-1
1.875000000E3,5.864109469E-2
1.898437500E3,2.306436931E-2
1.921875000E3,6.770893711E-2
1.945312500E3,1.191365714E-1
1.968750000E3,2.692539383E-1
1.992187500E3,2.161190070E-1
2.015625000E3,2.847064980E-1
2.039062500E3,3.924416589E-1
2.062500000E3,9.429118660E-2
2.085937500E3,1.261656899E-1
2.109375000E3,2.519235468E-1
2.132812500E3,1.566188452E-1
2.156250000E3,1.077633259E-1
2.179687500E3,2.733182514E-1
2.203125000E3,9.772560916E-2
2.226562500E3,1.748045705E-1
2.250000000E3,2.560810332E-1
2.273437500E3,3.234508291E-2
2.296875000E3,3.920026525E-1
2.320312500E3,2.889550595E-2
2.343750000E3,1.094765393E-1
2.367187500E3,1.581529309E-1
2.390625000E3,5.103919220E-2
2.414062500E3,2.251803001E-1
2.437500000E3,3.459822515E-1
