"Frequency (Hz)","Absolute Amplitude (a.u.)"
2.343750000E1,1.240857336E0
4.687500000E1,1.016635694E0
7.031250000E1,1.430486716E0
9.375000000E1,3.254797368E0
1.171875000E2,4.698317379E0
1.406250000E2,1.770276758E1
1.640625000E2,1.324639924E0
1.875000000E2,5.750087417E0
2.109375000E2,4.319478704E0
2.343750000E2,5.814080739E0
2.578125000E2,7.049414883E0
2.812500000E2,1.765819862E0
3.046875000E2,3.442564879E0
3.281250000E2,3.924666002E0
3.515625000E2,4.480395094E-1
3.750000000E2,3.337665142E0
3.984375000E2,6.355317487E0
4.218750000E2,2.566698080E0
4.453125000E2,3.464066083E0
4.687500000E2,3.650506949E0
4.921875000E2,1.141241289E0
5.156250000E2,2.730713191E0
5.390625000E2,7.673164054E0
5.625000000E2,4.655422039E0
5.859375000E2,9.532311314E-1
6.093750000E2,1.260852052E0
6.328125000E2,3.435158352E0
6.562500000E2,2.474389102E0
6.796875000E2,3.070194677E0
7.031250000E2,1.230887586E0
7.265625000E2,6.178368455E-1
7.500000000E2,1.497102697E0
7.734375000E2,1.750299083E0
7.968750000E2,1.045541798E0
8.203125000E2,1.729885783E0
8.437500000E2,7.183243358E-1
8.671875000E2,6.893358799E-1
8.906250000E2,8.733840889E-1
9.140625000E2,1.069340373E0
9.375000000E2,5.770007008E-1
9.609375000E2,5.265520254E-1
9.843750000E2,6.791930410E-1
1.007812500E3,1.200153036E0
1.031250000E3,6.599747256E-1
1.054687500E3,7.491699869E-1
1.078125000E3,1.067254713E0
1.101562500E3,5.821337770E-1
1.125000000E3,8.595710314E-1
1.148437500E3,1.078216637E0
1.171875000E3,5.916162548E-1
1.195312500E3,9.321804995E-2
1.218750000E3,7.868701043E-1
1.242187500E3,7.695945927E-1
1.265625000E3,7.616177903E-1
1.289062500E3,2.242372751E-1
1.312500000E3,6.734658670E-1
1.335937500E3,4.630027094E-1
1.359375000E3,8.660274836E-1
1.382812500E3,3.762871445E-1
1.406250000E3,4.849664876E-1
1.429687500E3,9.680614714E-1
1.453125000E3,9.030099497E-1
1.476562500E3,4.039184881E-1
1.500000000E3,7.398516374E-1
1.523437500E3,1.079734203E0
1.546875000E3,1.055124979E0
1.570312500E3,1.108009594E0
1.593750000E3,1.417685837E0
1.617187500E3,3.265228286E-1
1.640625000E3,6.964103072E-1
1.664062500E3,8.356631207E-1
1.687500000E3,7.613709998E-1
1.710937500E3,2.371447132E0
1.734375000E3,8.187930343E-1
1.757812500E3,9.199764022E-1
1.781250000E3,1.448260895E0
1.804687500E3,1.532539286E0
1.828125000E3,6.539637205E-1
1.851562500E3,3.403674222E-1
1.875000000E3,4.858774253E-1
1.898437500E3,9.840332433E-1
1.921875000E3,9.498430499E-1
1.945312500E3,2.112769559E0
1.968750000E3,4.538516906E-1
1.992187500E3,4.011828948E-1
2.015625000E3,1.209982210E0
2.039062500E3,1.273096956E0
2.062500000E3,6.508970225E-1
2.085937500E3,2.603409100E-1
2.109375000E3,6.660527954E-1
2.132812500E3,5.934834251E-1
2.156250000E3,8.641934426E-1
2.179687500E3,6.641279290E-1
2.203125000E3,1.439748641E0
2.226562500E3,5.417830415E-1
2.250000000E3,7.398468971E-1
2.273437500E3,1.309523913E0
2.296875000E3,9.529578177E-1
2.320312500E3,1.505706250E0
2.343750000E3,1.376473569E0
2.367187500E3,1.509806265E0
2.390625000E3,1.907960230E0
2.414062500E3,8.829244443E-1
2.437500000E3,1.227520876E0
2.460937500E3,1.597474792E0
2.484375000E3,1.474546510E0
2.507812500E3,1.604912111E0
2.531250000E3,1.090062082E0
2.554687500E3,1.663881948E0
2.578125000E3,1.007719643E0
2.601562500E3,3.653826196E0
2.625000000E3,4.351180273E0
2.648437500E3,2.449491034E0
2.671875000E3,6.258631951E0
2.695312500E3,5.401643499E0
2.718750000E3,3.032990307E0
2.742187500E3,9.271010979E0
2.765625000E3,3.483698365E1
2.789062500E3,4.125136335E1
2.812500000E3,7.038096182E0
2.835937500E3,7.451442236E0
2.859375000E3,3.098533336E0
2.882812500E3,4.686143864E0
2.906250000E3,5.628877967E0
2.929687500E3,6.343970849E-1
2.953125000E3,3.272992655E-1
2.976562500E3,2.747834566E0
3.000000000E3,1.941620296E0
3.023437500E3,2.388313034E0
3.046875000E3,1.646752309E0
3.070312500E3,1.860078475E0
3.093750000E3,2.162394595E0
3.117187500E3,2.207306312E0
3.140625000E3,1.851198626E0
3.164062500E3,3.909600448E-1
3.187500000E3,2.307570657E-1
3.210937500E3,1.341671091E0
3.234375000E3,1.310153558E0
3.257812500E3,9.182679050E-1
3.281250000E3,9.822552958E-1
3.304687500E3,1.232634049E0
3.328125000E3,1.192787676E0
3.351562500E3,7.035177506E-1
3.375000000E3,7.032344779E-1
3.398437500E3,1.690622280E0
3.421875000E3,1.026417458E0
3.445312500E3,1.650418137E-1
3.468750000E3,2.978946106E-1
3.492187500E3,8.571289371E-1
3.515625000E3,8.477371464E-1
3.539062500E3,6.893240180E-1
3.562500000E3,2.697203773E-1
3.585937500E3,5.287571637E-1
3.609375000E3,9.538043250E-1
3.632812500E3,7.828006997E-1
3.656250000E3,1.613646487E0
3.679687500E3,5.109338828E-1
3.703125000E3,9.332299236E-1
3.726562500E3,5.231891267E-1
3.750000000E3,8.288083597E-1
3.773437500E3,1.371614790E-1
3.796875000E3,2.587879995E-1
3.820312500E3,5.636402591E-1
3.843750000E3,4.284597132E-1
3.867187500E3,9.377063510E-1
3.890625000E3,5.133859894E-2
3.914062500E3,4.438660068E-1
3.937500000E3,1.397711550E0
3.960937500E3,1.248831057E-1
3.984375000E3,4.488946235E-1
4.007812500E3,2.597986020E-1
4.031250000E3,8.084542025E-1
4.054687500E3,2.514592409E-1
4.078125000E3,9.195303490E-2
4.101562500E3,5.517913393E-1
4.125000000E3,5.395959329E-1
4.148437500E3,3.687260028E-1
4.171875000E3,6.528857602E-2
4.195312500E3,8.029999230E-1
4.218750000E3,4.298672032E-1
4.242187500E3,2.623846835E-1
4.265625000E3,4.378543135E-1
4.289062500E3,2.691832825E-1
4.312500000E3,7.423225332E-1
4.335937500E3,9.155508256E-1
4.359375000E3,5.575349845E-1
4.382812500E3,2.016610187E-1
4.406250000E3,3.748532991E-1
4.429687500E3,5.365475595E-1
4.453125000E3,4.997848293E-1
4.476562500E3,8.667774599E-1
4.500000000E3,6.046760332E-1
4.523437500E3,1.101331633E0
4.546875000E3,7.013833095E-1
4.570312500E3,5.842466853E-1
4.593750000E3,5.217139631E-1
4.617187500E3,9.097595138E-1
4.640625000E3,4.745591337E-1
4.664062500E3,4.566868803E-1
4.687500000E3,1.170055854E0
4.710937500E3,2.993260138E-1
4.734375000E3,1.403787696E0
4.757812500E3,1.388632209E0
4.781250000E3,4.091274618E0
4.804687500E3,8.353932944E0
4.828125000E3,1.225109100E1
4.851562500E3,3.857323380E0
4.875000000E3,2.250742250E0
4.898437500E3,1.698354209E0
4.921875000E3,1.230860933E0
4.945312500E3,9.222981386E-1
4.968750000E3,1.050434594E0
4.992187500E3,7.279511580E-1
5.015625000E3,2.376522243E-1
5.039062500E3,2.607924215E-1
5.062500000E3,2.187502095E-1
5.085937500E3,5.003950697E-1
5.109375000E3,4.327455874E-1
5.132812500E3,4.575060099E-1
5.156250000E3,1.435501719E0
5.179687500E3,9.332675630E-1
5.203125000E3,4.595719583E-1
5.226562500E3,6.068928171E-1
5.250000000E3,3.112568781E-1
5.273437500E3,1.189567306E-1
5.296875000E3,5.650301701E-1
5.320312500E3,2.791815889E-1
5.343750000E3,1.104302841E-1
5.367187500E3,2.927089286E-1
5.390625000E3,5.060228363E-1
5.414062500E3,6.981077051E-1
5.437500000E3,1.934555178E-1
5.460937500E3,3.261346314E-1
5.484375000E3,1.918434230E-1
5.507812500E3,2.931551100E-1
5.531250000E3,8.527518721E-2
5.554687500E3,2.108002148E-1
5.578125000E3,1.902967874E-1
5.601562500E3,1.167433303E-1
5.625000000E3,5.346320112E-1
5.648437500E3,3.055577876E-1
5.671875000E3,1.333623862E-1
5.695312500E3,4.166742721E-1
